SEASON,BASIN,NATURE,LAT,LON,WIND,DIST2LAND,STORM_SPEED,STORM_DIR,TD9636_STAGE
Summer,SI,TS,-21.9,118.4,38.0,0,13.0,235.0,2.0
Summer,SI,TS,-22.3,117.9,30.0,0,10.0,235.0,1.0
Summer,SI,TS,-22.5,117.5,33.0,0,7.0,225.0,1.0
Summer,SI,TS,-22.8,117.3,30.0,0,9.0,205.0,1.0
Summer,SI,TS,-23.4,117.1,30.0,0,12.0,190.0,1.0
Summer,SI,TS,-19.4,57.1,30.0,98,3.0,240.0,1.0
Summer,SI,TS,-19.5,56.9,35.0,91,4.0,245.0,1.0
Summer,SI,TS,-19.6,56.6,40.0,109,5.0,245.0,1.0
Summer,SI,TS,-19.6,56.4,43.0,127,4.0,250.0,1.0
Summer,SI,TS,-19.7,56.2,45.0,142,4.0,250.0,1.0
Summer,SI,TS,-19.8,56.0,48.0,137,3.0,250.0,1.0
Summer,SI,TS,-19.8,55.9,50.0,135,3.0,255.0,1.0
Summer,SI,TS,-19.9,55.7,53.0,123,4.0,255.0,1.0
Summer,SI,TS,-19.9,55.5,55.0,123,5.0,255.0,1.0
Summer,SI,TS,-20.0,55.3,55.0,111,5.0,250.0,1.0
Summer,SI,TS,-20.1,54.9,55.0,108,7.0,250.0,1.0
Summer,SI,TS,-20.2,54.6,55.0,115,8.0,255.0,1.0
Summer,SI,TS,-20.3,54.2,55.0,137,8.0,265.0,2.0
Summer,SI,TS,-20.3,53.7,55.0,179,9.0,280.0,2.0
Summer,SI,TS,-20.2,53.2,55.0,231,8.0,290.0,2.0
Summer,SI,TS,-20.0,52.9,55.0,269,8.0,305.0,2.0
Summer,SI,TS,-19.7,52.5,55.0,321,9.0,315.0,2.0
Summer,SI,TS,-19.4,52.2,55.0,323,9.0,315.0,2.0
Summer,SI,TS,-19.1,51.9,55.0,281,8.0,320.0,2.0
Summer,SI,TS,-18.8,51.7,58.0,251,7.0,325.0,2.0
Summer,SI,TS,-18.5,51.5,60.0,224,6.0,320.0,2.0
Summer,SI,TS,-18.3,51.3,60.0,200,6.0,320.0,2.0
Summer,SI,TS,-18.1,51.1,60.0,175,6.0,325.0,2.0
Summer,SI,TS,-17.9,51.0,60.0,160,5.0,325.0,2.0
Summer,SI,TS,-17.7,50.8,60.0,137,5.0,300.0,2.0
Summer,SI,TS,-17.6,50.5,60.0,106,6.0,280.0,2.0
Summer,SI,TS,-17.6,50.2,60.0,75,5.0,290.0,2.0
Summer,SI,TS,-17.4,50.0,58.0,62,5.0,310.0,2.0
Summer,SI,TS,-17.3,49.8,55.0,42,4.0,320.0,2.0
Summer,SI,TS,-17.1,49.8,53.0,30,2.0,345.0,2.0
Summer,SI,TS,-17.0,49.8,50.0,22,3.0,15.0,2.0
Summer,SI,TS,-16.9,49.8,50.0,11,3.0,35.0,2.0
Summer,SI,TS,-16.8,50.0,50.0,21,3.0,65.0,2.0
Summer,SI,TS,-16.8,50.1,50.0,31,3.0,100.0,2.0
Summer,SI,TS,-16.8,50.3,50.0,53,4.0,135.0,2.0
Summer,SI,TS,-17.0,50.4,50.0,67,5.0,160.0,2.0
Summer,SI,TS,-17.3,50.5,50.0,93,7.0,170.0,2.0
Summer,SI,TS,-17.8,50.5,50.0,106,9.0,175.0,2.0
Summer,SI,TS,-18.2,50.6,50.0,126,10.0,170.0,2.0
Summer,SI,TS,-18.7,50.7,50.0,148,10.0,170.0,2.0
Summer,SI,TS,-19.2,50.8,50.0,177,9.0,170.0,2.0
Summer,SI,TS,-19.6,50.9,50.0,200,7.0,0.0,2.0
Summer,SI,TS,-19.9,50.8,50.0,204,6.0,180.0,2.0
Summer,SI,TS,-20.2,50.8,48.0,210,6.0,185.0,2.0
Summer,SI,TS,-20.5,50.8,45.0,215,5.0,190.0,2.0
Summer,SI,TS,-20.7,50.8,43.0,222,5.0,190.0,2.0
Summer,SI,TS,-21.0,50.7,40.0,226,5.0,200.0,2.0
Summer,SI,TS,-21.2,50.6,40.0,226,5.0,200.0,2.0
Summer,SI,TS,-21.5,50.5,40.0,224,5.0,195.0,2.0
Summer,SI,TS,-21.7,50.4,43.0,219,5.0,180.0,2.0
Summer,SI,TS,-22.0,50.5,45.0,236,6.0,170.0,2.0
Summer,SI,TS,-22.3,50.6,48.0,253,6.0,150.0,2.0
Summer,SI,TS,-22.5,50.8,50.0,278,7.0,120.0,2.0
Summer,SI,TS,-22.6,51.2,55.0,321,9.0,100.0,2.0
Summer,SI,TS,-22.7,51.7,60.0,373,10.0,90.0,2.0
Summer,SI,TS,-22.6,52.3,63.0,341,10.0,80.0,2.0
Summer,SI,TS,-22.5,52.8,65.0,290,10.0,70.0,2.0
Summer,SI,TS,-22.3,53.2,65.0,243,9.0,65.0,2.0
Summer,SI,TS,-22.1,53.6,65.0,197,7.0,55.0,2.0
Summer,SI,TS,-21.9,53.8,65.0,168,4.0,35.0,2.0
Summer,SI,TS,-21.7,53.9,65.0,150,4.0,355.0,4.0
Summer,SI,TS,-21.6,53.8,65.0,155,5.0,320.0,4.0
Summer,SI,TS,-21.4,53.5,65.0,179,5.0,305.0,4.0
Summer,SI,TS,-21.3,53.3,65.0,198,5.0,295.0,4.0
Summer,SI,TS,-21.2,53.1,65.0,218,4.0,290.0,4.0
Summer,SI,TS,-21.1,52.9,65.0,238,4.0,290.0,4.0
Summer,SI,TS,-21.1,52.7,65.0,259,4.0,300.0,4.0
Summer,SI,TS,-20.9,52.5,68.0,281,4.0,310.0,4.0
Summer,SI,TS,-20.8,52.4,70.0,292,4.0,305.0,4.0
Summer,SI,TS,-20.7,52.2,70.0,314,4.0,295.0,4.0
Summer,SI,TS,-20.6,52.0,70.0,337,3.0,300.0,4.0
Summer,SI,TS,-20.6,51.9,70.0,330,1.0,300.0,4.0
Summer,SI,TS,-20.6,51.9,70.0,330,2.0,0.0,4.0
Summer,SI,TS,-20.8,51.9,70.0,335,5.0,170.0,4.0
Summer,SI,TS,-21.1,52.0,70.0,331,6.0,160.0,4.0
Summer,SI,TS,-21.3,52.1,68.0,322,6.0,145.0,4.0
Summer,SI,TS,-21.5,52.3,65.0,303,6.0,125.0,4.0
Summer,SI,TS,-21.7,52.6,65.0,277,7.0,105.0,4.0
Summer,SI,TS,-21.7,53.0,65.0,237,8.0,100.0,4.0
Summer,SI,TS,-21.8,53.5,63.0,192,8.0,95.0,4.0
Summer,SI,TS,-21.8,53.9,60.0,155,10.0,95.0,4.0
Summer,SI,TS,-21.9,54.5,58.0,106,11.0,95.0,4.0
Summer,SI,TS,-21.9,55.1,55.0,70,12.0,100.0,4.0
Summer,SI,TS,-22.0,55.7,55.0,67,12.0,100.0,4.0
Summer,SI,TS,-22.2,56.3,55.0,113,11.0,110.0,4.0
Summer,SI,TS,-22.4,56.8,53.0,160,11.0,125.0,4.0
Summer,SI,TS,-22.8,57.3,50.0,228,11.0,135.0,4.0
Summer,SI,TS,-23.2,57.7,48.0,288,12.0,140.0,4.0
Summer,SI,TS,-23.7,58.1,45.0,357,11.0,145.0,2.0
Summer,SI,TS,-24.2,58.4,45.0,419,11.0,155.0,2.0
Summer,SI,TS,-24.7,58.6,45.0,475,12.0,160.0,2.0
Summer,SI,TS,-25.3,58.8,40.0,541,13.0,170.0,2.0
Summer,SI,TS,-26.0,58.9,35.0,612,15.0,175.0,2.0
Summer,SI,TS,-26.8,58.9,38.0,690,17.0,0.0,2.0
Summer,SI,TS,-27.7,58.9,40.0,778,17.0,185.0,2.0
